min,sec,tag
0,3,******경기 시작******
6,34,일반팀 왼쪽 크로스 골대
10,58,조끼팀 오른쪽에서 수비 체지고 크로스 후 마무리 ⚽️
13,47,일반팀 멋진 알패스 후 약간 아쉬운 마무리
17,20,일반팀 골대 정면 멋진 슈팅 
18,38,일반팀 슛 동작 페인팅 후 강력한 슈팅으로 마무리 ⚽️
19,25,조끼팀 점프하며 뒷발로 감각적인 마무리 ⚽️
21,4,조끼팀 스스로 넘어지는...
21,39,******1쿼터 종료******
27,45,******2쿼터 시작******
38,49,조끼팀 역습 후 오른쪽에서 마무리 ⚽️
39,58,일반팀 패스플레이 후 왼쪽에서 강한 슈팅 마무리 ⚽️
42,53,일반팀 왼쪽에서 크로스 후 마무리 ⚽️
47,40,일반팀 오른쪽에서 크로스 그러나 키퍼세이브
48,15,일반팀 좋은 패스 후 침착한 마무리 ⚽️
50,23,조끼팀 패스플레이 후 마무리 ⚽️
50,25,******2쿼터 종료******
55,44,******3쿼터 시작******
59,5,조끼팀 왼쪽에서 좋은 슛 ⚽️
63,8,일반팀 오른쪽에서 개인기 이후 크로스 후 마무리 ⚽️
64,49,일반팀 패스미스 커팅 후 마무리 ⚽️
66,31,조끼팀 패스플레이 이후 마무리 ⚽️
70,40,조끼팀 느린 크로스 후 마무리 ⚽️
71,30,일반팀 수비를 허무는 개인기 그러나 아쉬운 마무리
73,-2,일반팀 좋은 스루패스 후 마무리 ⚽️
77,21,일반팀 혼전상황 후 마무리 ⚽️
83,40,******3쿼터 종료******
89,40,******4쿼터 시작******
93,0,조끼팀 빈골대 구석에 정확하게 마무리 ⚽️
99,15,일반팀 나이스 스루패스 원터치 마무리
100,37,일반팀 골대 강타
103,14,일반팀 낮게 깔아서 구석으로 마무리 ⚽️
112,45,******4쿼터 종료******
